sim,risk_difference,b,c,p_value,significant
346,0.10000000000000003,84,52,0.007623827173866254,True
347,0.10000000000000003,88,56,0.009543281732431077,True
348,0.10000000000000003,90,58,0.010582643402853352,True
349,0.10000000000000003,83,51,0.007178115485500778,True
350,0.10000000000000003,77,45,0.004800874060088957,True
351,0.10000000000000003,89,57,0.010056475566925294,True
352,0.10000000000000003,90,58,0.010582643402853352,True
353,0.10000000000000003,97,65,0.014612363079529685,True
354,0.10000000000000003,84,52,0.007623827173866254,True
355,0.10000000000000003,90,58,0.010582643402853352,True
356,0.10000000000000003,88,56,0.009543281732431077,True
357,0.10000000000000003,88,56,0.009543281732431077,True
358,0.10000000000000003,89,57,0.010056475566925294,True
359,0.10000000000000003,86,54,0.008556547961075816,True
360,0.10000000000000003,93,61,0.012237048519511287,True
361,0.10000000000000003,88,56,0.009543281732431077,True
362,0.10000000000000003,86,54,0.008556547961075816,True
363,0.10000000000000003,85,53,0.008083354723191848,True
364,0.10000000000000003,82,50,0.00674635885953615,True
365,0.10000000000000003,88,56,0.009543281732431077,True
366,0.10000000000000003,87,55,0.009043246714205942,True
367,0.10000000000000003,85,53,0.008083354723191848,True
368,0.10000000000000003,86,54,0.008556547961075816,True
369,0.10000000000000003,84,52,0.007623827173866254,True
370,0.10000000000000003,88,56,0.009543281732431077,True
371,0.10000000000000003,88,56,0.009543281732431077,True
372,0.10000000000000003,85,53,0.008083354723191848,True
373,0.10000000000000003,80,48,0.005925206606743149,True
374,0.10000000000000003,87,55,0.009043246714205942,True
375,0.10000000000000003,86,54,0.008556547961075816,True
376,0.10000000000000003,87,55,0.009043246714205942,True
377,0.10000000000000003,85,53,0.008083354723191848,True
378,0.10000000000000003,79,47,0.005536025163897779,True
379,0.10000000000000003,85,53,0.008083354723191848,True
380,0.10000000000000003,89,57,0.010056475566925294,True
381,0.10000000000000003,85,53,0.008083354723191848,True
382,0.10000000000000003,88,56,0.009543281732431077,True
383,0.10000000000000003,85,53,0.008083354723191848,True
384,0.10000000000000003,95,63,0.013401204087274656,True
385,0.10000000000000003,82,50,0.00674635885953615,True
386,0.10000000000000003,86,54,0.008556547961075816,True
387,0.10000000000000003,81,49,0.00632868451075427,True
388,0.10000000000000003,88,56,0.009543281732431077,True
389,0.10000000000000003,83,51,0.007178115485500778,True
390,0.10000000000000003,81,49,0.00632868451075427,True
391,0.10000000000000003,80,48,0.005925206606743149,True
392,0.10000000000000003,83,51,0.007178115485500778,True
393,0.10000000000000003,82,50,0.00674635885953615,True
394,0.10000000000000003,90,58,0.010582643402853352,True
395,0.10000000000000003,87,55,0.009043246714205942,True
396,0.10000000000000003,87,55,0.009043246714205942,True
397,0.10000000000000003,88,56,0.009543281732431077,True
398,0.10000000000000003,80,48,0.005925206606743149,True
399,0.10000000000000003,90,58,0.010582643402853352,True
400,0.10000000000000003,91,59,0.011121593847224862,True
401,0.10000000000000003,87,55,0.009043246714205942,True
402,0.10000000000000003,90,58,0.010582643402853352,True
403,0.10000000000000003,86,54,0.008556547961075816,True
404,0.10000000000000003,86,54,0.008556547961075816,True
405,0.10000000000000003,90,58,0.010582643402853352,True
406,0.10000000000000003,83,51,0.007178115485500778,True
407,0.10000000000000003,90,58,0.010582643402853352,True
408,0.10000000000000003,89,57,0.010056475566925294,True
409,0.10000000000000003,81,49,0.00632868451075427,True
410,0.10000000000000003,92,60,0.011673129672852299,True
411,0.10000000000000003,88,56,0.009543281732431077,True
412,0.10000000000000003,86,54,0.008556547961075816,True
413,0.10000000000000003,79,47,0.005536025163897779,True
414,0.10000000000000003,92,60,0.011673129672852299,True
415,0.10000000000000003,83,51,0.007178115485500778,True
416,0.10000000000000003,91,59,0.011121593847224862,True
417,0.10000000000000003,87,55,0.009043246714205942,True
418,0.10000000000000003,88,56,0.009543281732431077,True
419,0.10000000000000003,85,53,0.008083354723191848,True
420,0.10000000000000003,80,48,0.005925206606743149,True
421,0.10000000000000003,81,49,0.00632868451075427,True
422,0.10000000000000003,84,52,0.007623827173866254,True
423,0.10000000000000003,83,51,0.007178115485500778,True
424,0.10000000000000003,84,52,0.007623827173866254,True
425,0.10000000000000003,80,48,0.005925206606743149,True
426,0.10000000000000003,87,55,0.009043246714205942,True
427,0.10000000000000003,88,56,0.009543281732431077,True
428,0.10000000000000003,81,49,0.00632868451075427,True
429,0.10000000000000003,83,51,0.007178115485500778,True
430,0.10000000000000003,84,52,0.007623827173866254,True
431,0.10000000000000003,85,53,0.008083354723191848,True
432,0.10000000000000003,81,49,0.00632868451075427,True
433,0.10000000000000003,84,52,0.007623827173866254,True
434,0.10000000000000003,89,57,0.010056475566925294,True
435,0.10000000000000003,84,52,0.007623827173866254,True
436,0.10000000000000003,86,54,0.008556547961075816,True
437,0.10000000000000003,85,53,0.008083354723191848,True
438,0.10000000000000003,90,58,0.010582643402853352,True
439,0.10000000000000003,87,55,0.009043246714205942,True
440,0.10000000000000003,90,58,0.010582643402853352,True
441,0.10000000000000003,90,58,0.010582643402853352,True
442,0.10000000000000003,88,56,0.009543281732431077,True
443,0.10000000000000003,83,51,0.007178115485500778,True
444,0.10000000000000003,85,53,0.008083354723191848,True
445,0.10000000000000003,88,56,0.009543281732431077,True
446,0.10000000000000003,81,49,0.00632868451075427,True
447,0.10000000000000003,87,55,0.009043246714205942,True
448,0.10000000000000003,90,58,0.010582643402853352,True
449,0.10000000000000003,89,57,0.010056475566925294,True
450,0.10000000000000003,90,58,0.010582643402853352,True
451,0.10000000000000003,91,59,0.011121593847224862,True
452,0.10000000000000003,84,52,0.007623827173866254,True
453,0.10000000000000003,82,50,0.00674635885953615,True
454,0.10000000000000003,93,61,0.012237048519511287,True
455,0.10000000000000003,82,50,0.00674635885953615,True
456,0.10000000000000003,87,55,0.009043246714205942,True
457,0.10000000000000003,87,55,0.009043246714205942,True
458,0.10000000000000003,84,52,0.007623827173866254,True
459,0.10000000000000003,89,57,0.010056475566925294,True
460,0.10000000000000003,87,55,0.009043246714205942,True
461,0.10000000000000003,93,61,0.012237048519511287,True
462,0.10000000000000003,93,61,0.012237048519511287,True
463,0.10000000000000003,90,58,0.010582643402853352,True
464,0.10000000000000003,80,48,0.005925206606743149,True
465,0.10000000000000003,77,45,0.004800874060088957,True
466,0.10000000000000003,81,49,0.00632868451075427,True
467,0.10000000000000003,82,50,0.00674635885953615,True
468,0.10000000000000003,84,52,0.007623827173866254,True
469,0.10000000000000003,82,50,0.00674635885953615,True
470,0.10000000000000003,84,52,0.007623827173866254,True
471,0.10000000000000003,82,50,0.00674635885953615,True
472,0.10000000000000003,84,52,0.007623827173866254,True
473,0.10000000000000003,94,62,0.012813143553546106,True
474,0.10000000000000003,86,54,0.008556547961075816,True
475,0.10000000000000003,87,55,0.009043246714205942,True
476,0.10000000000000003,88,56,0.009543281732431077,True
477,0.10000000000000003,87,55,0.009043246714205942,True
478,0.10000000000000003,79,47,0.005536025163897779,True
479,0.10000000000000003,81,49,0.00632868451075427,True
480,0.10000000000000003,88,56,0.009543281732431077,True
481,0.10000000000000003,90,58,0.010582643402853352,True
482,0.10000000000000003,89,57,0.010056475566925294,True
483,0.10000000000000003,85,53,0.008083354723191848,True
484,0.10000000000000003,84,52,0.007623827173866254,True
485,0.10000000000000003,92,60,0.011673129672852299,True
486,0.10000000000000003,86,54,0.008556547961075816,True
487,0.10000000000000003,84,52,0.007623827173866254,True
488,0.10000000000000003,88,56,0.009543281732431077,True
489,0.10000000000000003,88,56,0.009543281732431077,True
490,0.10000000000000003,82,50,0.00674635885953615,True
491,0.10000000000000003,87,55,0.009043246714205942,True
492,0.10000000000000003,95,63,0.013401204087274656,True
493,0.10000000000000003,82,50,0.00674635885953615,True
494,0.10000000000000003,81,49,0.00632868451075427,True
495,0.10000000000000003,87,55,0.009043246714205942,True
496,0.10000000000000003,83,51,0.007178115485500778,True
497,0.10000000000000003,88,56,0.009543281732431077,True
498,0.10000000000000003,84,52,0.007623827173866254,True
499,0.10000000000000003,79,47,0.005536025163897779,True
500,0.10000000000000003,85,53,0.008083354723191848,True
501,0.10000000000000003,84,52,0.007623827173866254,True
502,0.10000000000000003,85,53,0.008083354723191848,True
503,0.10000000000000003,83,51,0.007178115485500778,True
504,0.10000000000000003,96,64,0.014001016159629528,True
505,0.10000000000000003,86,54,0.008556547961075816,True
506,0.10000000000000003,84,52,0.007623827173866254,True
507,0.10000000000000003,79,47,0.005536025163897779,True
508,0.10000000000000003,86,54,0.008556547961075816,True
509,0.10000000000000003,79,47,0.005536025163897779,True
510,0.10000000000000003,83,51,0.007178115485500778,True
